shot_danger_key,game_id,event_index,danger_zone,xg,shot_distance,shot_angle,is_rebound,is_rush,is_one_timer
E18969001651,18969,1651.0,unknown,0.09,0.0,0.0,0,0,0
E18969001655,18969,1655.0,unknown,0.09,0.0,0.0,0,0,0
E18969001667,18969,1667.0,unknown,0.09,0.0,0.0,0,0,0
E18969001673,18969,1673.0,unknown,0.09,0.0,0.0,0,0,0
E18969001677,18969,1677.0,unknown,0.09,0.0,0.0,0,0,0
E18969001693,18969,1693.0,unknown,0.09,0.0,0.0,0,0,0
E18969001724,18969,1724.0,unknown,0.09,0.0,0.0,0,0,0
E18969001741,18969,1741.0,unknown,0.09,0.0,0.0,0,0,0
E18969001744,18969,1744.0,unknown,0.09,0.0,0.0,0,0,0
E18969001749,18969,1749.0,unknown,0.09,0.0,0.0,0,0,0
E18969001755,18969,1755.0,unknown,0.09,0.0,0.0,0,0,0
E18969001759,18969,1759.0,unknown,0.09,0.0,0.0,0,0,0
E18969001825,18969,1825.0,unknown,0.09,0.0,0.0,0,0,0
E18969001858,18969,1858.0,unknown,0.09,0.0,0.0,0,0,0
E18969001873,18969,1873.0,unknown,0.09,0.0,0.0,0,0,0
E18969001889,18969,1889.0,unknown,0.09,0.0,0.0,0,0,0
E18969001931,18969,1931.0,unknown,0.09,0.0,0.0,0,0,0
E18969001941,18969,1941.0,unknown,0.09,0.0,0.0,0,0,0
E18969001947,18969,1947.0,unknown,0.09,0.0,0.0,0,0,0
E18969001951,18969,1951.0,unknown,0.09,0.0,0.0,0,0,0
E18969001955,18969,1955.0,unknown,0.09,0.0,0.0,0,0,0
E18969001958,18969,1958.0,unknown,0.09,0.0,0.0,0,0,0
E18969001971,18969,1971.0,unknown,0.09,0.0,0.0,0,0,0
E18969001975,18969,1975.0,unknown,0.09,0.0,0.0,0,0,0
E18969002031,18969,2031.0,unknown,0.09,0.0,0.0,0,0,0
E18969002067,18969,2067.0,unknown,0.09,0.0,0.0,0,0,0
E18969002074,18969,2074.0,unknown,0.09,0.0,0.0,0,0,0
E18969002085,18969,2085.0,unknown,0.09,0.0,0.0,0,0,0
E18969002090,18969,2090.0,unknown,0.09,0.0,0.0,0,0,0
E18969002102,18969,2102.0,unknown,0.09,0.0,0.0,0,0,0
E18969002110,18969,2110.0,unknown,0.09,0.0,0.0,0,0,0
E18969002117,18969,2117.0,unknown,0.09,0.0,0.0,0,0,0
E18969002137,18969,2137.0,unknown,0.09,0.0,0.0,0,0,0
E18969002157,18969,2157.0,unknown,0.09,0.0,0.0,0,0,0
E18969002174,18969,2174.0,unknown,0.09,0.0,0.0,0,0,0
E18969002203,18969,2203.0,unknown,0.09,0.0,0.0,0,0,0
E18969002210,18969,2210.0,unknown,0.09,0.0,0.0,0,0,0
E18969002217,18969,2217.0,unknown,0.09,0.0,0.0,0,0,0
E18969002241,18969,2241.0,unknown,0.09,0.0,0.0,0,0,0
E18969002244,18969,2244.0,unknown,0.09,0.0,0.0,0,0,0
E18969002253,18969,2253.0,unknown,0.09,0.0,0.0,0,0,0
E18969002262,18969,2262.0,unknown,0.09,0.0,0.0,0,0,0
E18969002273,18969,2273.0,unknown,0.09,0.0,0.0,0,0,0
E18969002300,18969,2300.0,unknown,0.09,0.0,0.0,0,0,0
E18969002308,18969,2308.0,unknown,0.09,0.0,0.0,0,0,0
E18969002336,18969,2336.0,unknown,0.09,0.0,0.0,0,0,0
E18969002343,18969,2343.0,unknown,0.09,0.0,0.0,0,0,0
E18969002380,18969,2380.0,unknown,0.09,0.0,0.0,0,0,0
E18969002388,18969,2388.0,unknown,0.09,0.0,0.0,0,0,0
E18969002400,18969,2400.0,unknown,0.09,0.0,0.0,0,0,0
E18969002411,18969,2411.0,unknown,0.09,0.0,0.0,0,0,0
E18969002415,18969,2415.0,unknown,0.09,0.0,0.0,0,0,0
E18969002427,18969,2427.0,unknown,0.09,0.0,0.0,0,0,0
E18969002444,18969,2444.0,unknown,0.09,0.0,0.0,0,0,0
E18969002457,18969,2457.0,unknown,0.09,0.0,0.0,0,0,0
E18969002459,18969,2459.0,unknown,0.09,0.0,0.0,0,0,0
E18969002464,18969,2464.0,unknown,0.09,0.0,0.0,0,0,0
E18969002469,18969,2469.0,unknown,0.09,0.0,0.0,0,0,0
E18969002476,18969,2476.0,unknown,0.09,0.0,0.0,0,0,0
E18969002486,18969,2486.0,unknown,0.09,0.0,0.0,0,0,0
E18969002491,18969,2491.0,unknown,0.09,0.0,0.0,0,0,0
E18969002495,18969,2495.0,unknown,0.09,0.0,0.0,0,0,0
E18969002506,18969,2506.0,unknown,0.09,0.0,0.0,0,0,0
E18969002515,18969,2515.0,unknown,0.09,0.0,0.0,0,0,0
E18969002546,18969,2546.0,unknown,0.09,0.0,0.0,0,0,0
E18969002552,18969,2552.0,unknown,0.09,0.0,0.0,0,0,0
E18969002566,18969,2566.0,unknown,0.09,0.0,0.0,0,0,0
E18969002575,18969,2575.0,unknown,0.09,0.0,0.0,0,0,0
E18977001018,18977,1018.0,unknown,0.09,0.0,0.0,0,0,0
E18977001031,18977,1031.0,unknown,0.09,0.0,0.0,0,0,0
E18977001067,18977,1067.0,unknown,0.09,0.0,0.0,0,0,0
E18977001076,18977,1076.0,unknown,0.09,0.0,0.0,0,0,0
E18977001087,18977,1087.0,unknown,0.09,0.0,0.0,0,0,0
E18977001103,18977,1103.0,unknown,0.09,0.0,0.0,0,0,0
E18977001108,18977,1108.0,unknown,0.09,0.0,0.0,0,0,0
E18977001110,18977,1110.0,unknown,0.09,0.0,0.0,0,0,0
E18977001139,18977,1139.0,unknown,0.09,0.0,0.0,0,0,0
E18977001150,18977,1150.0,unknown,0.09,0.0,0.0,0,0,0
E18977001167,18977,1167.0,unknown,0.09,0.0,0.0,0,0,0
E18977001174,18977,1174.0,unknown,0.09,0.0,0.0,0,0,0
E18977001198,18977,1198.0,unknown,0.09,0.0,0.0,0,0,0
E18977001222,18977,1222.0,unknown,0.09,0.0,0.0,0,0,0
E18977001225,18977,1225.0,unknown,0.09,0.0,0.0,0,0,0
E18977001228,18977,1228.0,unknown,0.09,0.0,0.0,0,0,0
E18977001244,18977,1244.0,unknown,0.09,0.0,0.0,0,0,0
E18977001263,18977,1263.0,unknown,0.09,0.0,0.0,0,0,0
E18977001270,18977,1270.0,unknown,0.09,0.0,0.0,0,0,0
E18977001276,18977,1276.0,unknown,0.09,0.0,0.0,0,0,0
E18977001286,18977,1286.0,unknown,0.09,0.0,0.0,0,0,0
E18977001290,18977,1290.0,unknown,0.09,0.0,0.0,0,0,0
E18977001296,18977,1296.0,unknown,0.09,0.0,0.0,0,0,0
E18977001308,18977,1308.0,unknown,0.09,0.0,0.0,0,0,0
E18977001315,18977,1315.0,unknown,0.09,0.0,0.0,0,0,0
E18977001316,18977,1316.0,unknown,0.09,0.0,0.0,0,0,0
E18977001331,18977,1331.0,unknown,0.09,0.0,0.0,0,0,0
E18977001341,18977,1341.0,unknown,0.09,0.0,0.0,0,0,0
E18977001357,18977,1357.0,unknown,0.09,0.0,0.0,0,0,0
E18977001362,18977,1362.0,unknown,0.09,0.0,0.0,0,0,0
E18977001368,18977,1368.0,unknown,0.09,0.0,0.0,0,0,0
E18977001410,18977,1410.0,unknown,0.09,0.0,0.0,0,0,0
E18977001443,18977,1443.0,unknown,0.09,0.0,0.0,0,0,0
E18977001456,18977,1456.0,unknown,0.09,0.0,0.0,0,0,0
E18977001478,18977,1478.0,unknown,0.09,0.0,0.0,0,0,0
E18977001479,18977,1479.0,unknown,0.09,0.0,0.0,0,0,0
E18977001486,18977,1486.0,unknown,0.09,0.0,0.0,0,0,0
E18977001487,18977,1487.0,unknown,0.09,0.0,0.0,0,0,0
E18977001493,18977,1493.0,unknown,0.09,0.0,0.0,0,0,0
E18977001498,18977,1498.0,unknown,0.09,0.0,0.0,0,0,0
E18977001526,18977,1526.0,unknown,0.09,0.0,0.0,0,0,0
E18977001542,18977,1542.0,unknown,0.09,0.0,0.0,0,0,0
E18977001571,18977,1571.0,unknown,0.09,0.0,0.0,0,0,0
E18977001580,18977,1580.0,unknown,0.09,0.0,0.0,0,0,0
E18977001590,18977,1590.0,unknown,0.09,0.0,0.0,0,0,0
E18977001611,18977,1611.0,unknown,0.09,0.0,0.0,0,0,0
E18977001625,18977,1625.0,unknown,0.09,0.0,0.0,0,0,0
E18977001635,18977,1635.0,unknown,0.09,0.0,0.0,0,0,0
E18977001653,18977,1653.0,unknown,0.09,0.0,0.0,0,0,0
E18977001668,18977,1668.0,unknown,0.09,0.0,0.0,0,0,0
E18977001686,18977,1686.0,unknown,0.09,0.0,0.0,0,0,0
E18977001710,18977,1710.0,unknown,0.09,0.0,0.0,0,0,0
E18977001713,18977,1713.0,unknown,0.09,0.0,0.0,0,0,0
E18977001730,18977,1730.0,unknown,0.09,0.0,0.0,0,0,0
E18977001768,18977,1768.0,unknown,0.09,0.0,0.0,0,0,0
E18977001777,18977,1777.0,unknown,0.09,0.0,0.0,0,0,0
E18977001780,18977,1780.0,unknown,0.09,0.0,0.0,0,0,0
E18977001797,18977,1797.0,unknown,0.09,0.0,0.0,0,0,0
E18977001800,18977,1800.0,unknown,0.09,0.0,0.0,0,0,0
E18977001808,18977,1808.0,unknown,0.09,0.0,0.0,0,0,0
E18977001828,18977,1828.0,unknown,0.09,0.0,0.0,0,0,0
E18977001834,18977,1834.0,unknown,0.09,0.0,0.0,0,0,0
E18977001837,18977,1837.0,unknown,0.09,0.0,0.0,0,0,0
E18977001840,18977,1840.0,unknown,0.09,0.0,0.0,0,0,0
E18977001848,18977,1848.0,unknown,0.09,0.0,0.0,0,0,0
E18977001861,18977,1861.0,unknown,0.09,0.0,0.0,0,0,0
E18977001870,18977,1870.0,unknown,0.09,0.0,0.0,0,0,0
E18977001885,18977,1885.0,unknown,0.09,0.0,0.0,0,0,0
E18977001889,18977,1889.0,unknown,0.09,0.0,0.0,0,0,0
E18977001898,18977,1898.0,unknown,0.09,0.0,0.0,0,0,0
E18977001904,18977,1904.0,unknown,0.09,0.0,0.0,0,0,0
E18977001913,18977,1913.0,unknown,0.09,0.0,0.0,0,0,0
E18977001918,18977,1918.0,unknown,0.09,0.0,0.0,0,0,0
E18977001933,18977,1933.0,unknown,0.09,0.0,0.0,0,0,0
E18977001938,18977,1938.0,unknown,0.09,0.0,0.0,0,0,0
E18977001943,18977,1943.0,unknown,0.09,0.0,0.0,0,0,0
E18977001964,18977,1964.0,unknown,0.09,0.0,0.0,0,0,0
E18977001972,18977,1972.0,unknown,0.09,0.0,0.0,0,0,0
E18977001974,18977,1974.0,unknown,0.09,0.0,0.0,0,0,0
E18977001991,18977,1991.0,unknown,0.09,0.0,0.0,0,0,0
E18977001996,18977,1996.0,unknown,0.09,0.0,0.0,0,0,0
E18977002036,18977,2036.0,unknown,0.09,0.0,0.0,0,0,0
E18977002043,18977,2043.0,unknown,0.09,0.0,0.0,0,0,0
E18977002052,18977,2052.0,unknown,0.09,0.0,0.0,0,0,0
E18977002059,18977,2059.0,unknown,0.09,0.0,0.0,0,0,0
E18977002064,18977,2064.0,unknown,0.09,0.0,0.0,0,0,0
E18977002073,18977,2073.0,unknown,0.09,0.0,0.0,0,0,0
E18977002086,18977,2086.0,unknown,0.09,0.0,0.0,0,0,0
E18977002093,18977,2093.0,unknown,0.09,0.0,0.0,0,0,0
E18977002106,18977,2106.0,unknown,0.09,0.0,0.0,0,0,0
E18977002117,18977,2117.0,unknown,0.09,0.0,0.0,0,0,0
E18977002133,18977,2133.0,unknown,0.09,0.0,0.0,0,0,0
E18977002138,18977,2138.0,unknown,0.09,0.0,0.0,0,0,0
E18977002153,18977,2153.0,unknown,0.09,0.0,0.0,0,0,0
E18977002159,18977,2159.0,unknown,0.09,0.0,0.0,0,0,0
E18977002162,18977,2162.0,unknown,0.09,0.0,0.0,0,0,0
E18977002165,18977,2165.0,unknown,0.09,0.0,0.0,0,0,0
E18977002179,18977,2179.0,unknown,0.09,0.0,0.0,0,0,0
E18977002193,18977,2193.0,unknown,0.09,0.0,0.0,0,0,0
E18977002196,18977,2196.0,unknown,0.09,0.0,0.0,0,0,0
E18977002197,18977,2197.0,unknown,0.09,0.0,0.0,0,0,0
E18977002200,18977,2200.0,unknown,0.09,0.0,0.0,0,0,0
E18977002233,18977,2233.0,unknown,0.09,0.0,0.0,0,0,0
E18977002245,18977,2245.0,unknown,0.09,0.0,0.0,0,0,0
E18977002251,18977,2251.0,unknown,0.09,0.0,0.0,0,0,0
E18977002257,18977,2257.0,unknown,0.09,0.0,0.0,0,0,0
E18977002266,18977,2266.0,unknown,0.09,0.0,0.0,0,0,0
E18977002268,18977,2268.0,unknown,0.09,0.0,0.0,0,0,0
E18977002279,18977,2279.0,unknown,0.09,0.0,0.0,0,0,0
E18977002295,18977,2295.0,unknown,0.09,0.0,0.0,0,0,0
E18977002296,18977,2296.0,unknown,0.09,0.0,0.0,0,0,0
E18977002308,18977,2308.0,unknown,0.09,0.0,0.0,0,0,0
E18977002319,18977,2319.0,unknown,0.09,0.0,0.0,0,0,0
E18977002324,18977,2324.0,unknown,0.09,0.0,0.0,0,0,0
E18977002332,18977,2332.0,unknown,0.09,0.0,0.0,0,0,0
E18977002335,18977,2335.0,unknown,0.09,0.0,0.0,0,0,0
E18977002340,18977,2340.0,unknown,0.09,0.0,0.0,0,0,0
E18977002342,18977,2342.0,unknown,0.09,0.0,0.0,0,0,0
E18977002345,18977,2345.0,unknown,0.09,0.0,0.0,0,0,0
E18977002348,18977,2348.0,unknown,0.09,0.0,0.0,0,0,0
E18977002359,18977,2359.0,unknown,0.09,0.0,0.0,0,0,0
E18981001004,18981,1004.0,unknown,0.09,0.0,0.0,0,0,0
E18981001014,18981,1014.0,unknown,0.09,0.0,0.0,0,0,0
E18981001019,18981,1019.0,unknown,0.09,0.0,0.0,0,0,0
E18981001024,18981,1024.0,unknown,0.09,0.0,0.0,0,0,0
E18981001071,18981,1071.0,unknown,0.09,0.0,0.0,0,0,0
E18981001078,18981,1078.0,unknown,0.09,0.0,0.0,0,0,0
E18981001087,18981,1087.0,unknown,0.09,0.0,0.0,0,0,0
E18981001092,18981,1092.0,unknown,0.09,0.0,0.0,0,0,0
E18981001136,18981,1136.0,unknown,0.09,0.0,0.0,0,0,0
E18981001144,18981,1144.0,unknown,0.09,0.0,0.0,0,0,0
E18981001151,18981,1151.0,unknown,0.09,0.0,0.0,0,0,0
E18981001156,18981,1156.0,unknown,0.09,0.0,0.0,0,0,0
E18981001204,18981,1204.0,unknown,0.09,0.0,0.0,0,0,0
E18981001210,18981,1210.0,unknown,0.09,0.0,0.0,0,0,0
E18981001224,18981,1224.0,unknown,0.09,0.0,0.0,0,0,0
E18981001229,18981,1229.0,unknown,0.09,0.0,0.0,0,0,0
E18981001239,18981,1239.0,unknown,0.09,0.0,0.0,0,0,0
E18981001289,18981,1289.0,unknown,0.09,0.0,0.0,0,0,0
E18981001312,18981,1312.0,unknown,0.09,0.0,0.0,0,0,0
E18981001317,18981,1317.0,unknown,0.09,0.0,0.0,0,0,0
E18981001323,18981,1323.0,unknown,0.09,0.0,0.0,0,0,0
E18981001351,18981,1351.0,unknown,0.09,0.0,0.0,0,0,0
E18981001354,18981,1354.0,unknown,0.09,0.0,0.0,0,0,0
E18981001359,18981,1359.0,unknown,0.09,0.0,0.0,0,0,0
E18981001372,18981,1372.0,unknown,0.09,0.0,0.0,0,0,0
E18981001406,18981,1406.0,unknown,0.09,0.0,0.0,0,0,0
E18981001462,18981,1462.0,unknown,0.09,0.0,0.0,0,0,0
E18981001480,18981,1480.0,unknown,0.09,0.0,0.0,0,0,0
E18981001501,18981,1501.0,unknown,0.09,0.0,0.0,0,0,0
E18981001512,18981,1512.0,unknown,0.09,0.0,0.0,0,0,0
E18981001528,18981,1528.0,unknown,0.09,0.0,0.0,0,0,0
E18981001541,18981,1541.0,unknown,0.09,0.0,0.0,0,0,0
E18981001546,18981,1546.0,unknown,0.09,0.0,0.0,0,0,0
E18981001549,18981,1549.0,unknown,0.09,0.0,0.0,0,0,0
E18981001555,18981,1555.0,unknown,0.09,0.0,0.0,0,0,0
E18981001560,18981,1560.0,unknown,0.09,0.0,0.0,0,0,0
E18981001561,18981,1561.0,unknown,0.09,0.0,0.0,0,0,0
E18981001568,18981,1568.0,unknown,0.09,0.0,0.0,0,0,0
E18981001575,18981,1575.0,unknown,0.09,0.0,0.0,0,0,0
E18981001601,18981,1601.0,unknown,0.09,0.0,0.0,0,0,0
E18981001625,18981,1625.0,unknown,0.09,0.0,0.0,0,0,0
E18981001631,18981,1631.0,unknown,0.09,0.0,0.0,0,0,0
E18981001635,18981,1635.0,unknown,0.09,0.0,0.0,0,0,0
E18981001646,18981,1646.0,unknown,0.09,0.0,0.0,0,0,0
E18981001652,18981,1652.0,unknown,0.09,0.0,0.0,0,0,0
E18981001665,18981,1665.0,unknown,0.09,0.0,0.0,0,0,0
E18981001672,18981,1672.0,unknown,0.09,0.0,0.0,0,0,0
E18981001682,18981,1682.0,unknown,0.09,0.0,0.0,0,0,0
E18981001684,18981,1684.0,unknown,0.09,0.0,0.0,0,0,0
E18981001691,18981,1691.0,unknown,0.09,0.0,0.0,0,0,0
E18981001696,18981,1696.0,unknown,0.09,0.0,0.0,0,0,0
E18981001721,18981,1721.0,unknown,0.09,0.0,0.0,0,0,0
E18981001733,18981,1733.0,unknown,0.09,0.0,0.0,0,0,0
E18981001740,18981,1740.0,unknown,0.09,0.0,0.0,0,0,0
E18981001749,18981,1749.0,unknown,0.09,0.0,0.0,0,0,0
E18981001754,18981,1754.0,unknown,0.09,0.0,0.0,0,0,0
E18981001758,18981,1758.0,unknown,0.09,0.0,0.0,0,0,0
E18981001763,18981,1763.0,unknown,0.09,0.0,0.0,0,0,0
E18981001787,18981,1787.0,unknown,0.09,0.0,0.0,0,0,0
E18981001801,18981,1801.0,unknown,0.09,0.0,0.0,0,0,0
E18981001816,18981,1816.0,unknown,0.09,0.0,0.0,0,0,0
E18981001874,18981,1874.0,unknown,0.09,0.0,0.0,0,0,0
E18981001877,18981,1877.0,unknown,0.09,0.0,0.0,0,0,0
E18981001891,18981,1891.0,unknown,0.09,0.0,0.0,0,0,0
E18981001926,18981,1926.0,unknown,0.09,0.0,0.0,0,0,0
E18981001934,18981,1934.0,unknown,0.09,0.0,0.0,0,0,0
E18981001937,18981,1937.0,unknown,0.09,0.0,0.0,0,0,0
E18981001952,18981,1952.0,unknown,0.09,0.0,0.0,0,0,0
E18981001988,18981,1988.0,unknown,0.09,0.0,0.0,0,0,0
E18981002005,18981,2005.0,unknown,0.09,0.0,0.0,0,0,0
E18981002011,18981,2011.0,unknown,0.09,0.0,0.0,0,0,0
E18981002020,18981,2020.0,unknown,0.09,0.0,0.0,0,0,0
E18981002021,18981,2021.0,unknown,0.09,0.0,0.0,0,0,0
E18981002033,18981,2033.0,unknown,0.09,0.0,0.0,0,0,0
E18981002038,18981,2038.0,unknown,0.09,0.0,0.0,0,0,0
E18981002057,18981,2057.0,unknown,0.09,0.0,0.0,0,0,0
E18981002068,18981,2068.0,unknown,0.09,0.0,0.0,0,0,0
E18981002075,18981,2075.0,unknown,0.09,0.0,0.0,0,0,0
E18981002078,18981,2078.0,unknown,0.09,0.0,0.0,0,0,0
E18981002080,18981,2080.0,unknown,0.09,0.0,0.0,0,0,0
E18981002085,18981,2085.0,unknown,0.09,0.0,0.0,0,0,0
E18981002099,18981,2099.0,unknown,0.09,0.0,0.0,0,0,0
E18981002105,18981,2105.0,unknown,0.09,0.0,0.0,0,0,0
E18981002109,18981,2109.0,unknown,0.09,0.0,0.0,0,0,0
E18981002115,18981,2115.0,unknown,0.09,0.0,0.0,0,0,0
E18981002133,18981,2133.0,unknown,0.09,0.0,0.0,0,0,0
E18981002169,18981,2169.0,unknown,0.09,0.0,0.0,0,0,0
E18981002187,18981,2187.0,unknown,0.09,0.0,0.0,0,0,0
E18981002215,18981,2215.0,unknown,0.09,0.0,0.0,0,0,0
E18981002219,18981,2219.0,unknown,0.09,0.0,0.0,0,0,0
E18981002255,18981,2255.0,unknown,0.09,0.0,0.0,0,0,0
E18981002259,18981,2259.0,unknown,0.09,0.0,0.0,0,0,0
E18981002265,18981,2265.0,unknown,0.09,0.0,0.0,0,0,0
E18981002269,18981,2269.0,unknown,0.09,0.0,0.0,0,0,0
E18981002280,18981,2280.0,unknown,0.09,0.0,0.0,0,0,0
E18981002282,18981,2282.0,unknown,0.09,0.0,0.0,0,0,0
E18987001013,18987,1013.0,unknown,0.09,0.0,0.0,0,0,0
E18987001042,18987,1042.0,unknown,0.09,0.0,0.0,0,0,0
E18987001046,18987,1046.0,unknown,0.09,0.0,0.0,0,0,0
E18987001064,18987,1064.0,unknown,0.09,0.0,0.0,0,0,0
E18987001078,18987,1078.0,unknown,0.09,0.0,0.0,0,0,0
E18987001082,18987,1082.0,unknown,0.09,0.0,0.0,0,0,0
E18987001084,18987,1084.0,unknown,0.09,0.0,0.0,0,0,0
E18987001094,18987,1094.0,unknown,0.09,0.0,0.0,0,0,0
E18987001104,18987,1104.0,unknown,0.09,0.0,0.0,0,0,0
E18987001106,18987,1106.0,unknown,0.09,0.0,0.0,0,0,0
E18987001110,18987,1110.0,unknown,0.09,0.0,0.0,0,0,0
E18987001114,18987,1114.0,unknown,0.09,0.0,0.0,0,0,0
E18987001135,18987,1135.0,unknown,0.09,0.0,0.0,0,0,0
E18987001151,18987,1151.0,unknown,0.09,0.0,0.0,0,0,0
E18987001214,18987,1214.0,unknown,0.09,0.0,0.0,0,0,0
E18987001238,18987,1238.0,unknown,0.09,0.0,0.0,0,0,0
E18987001257,18987,1257.0,unknown,0.09,0.0,0.0,0,0,0
E18987001260,18987,1260.0,unknown,0.09,0.0,0.0,0,0,0
E18987001291,18987,1291.0,unknown,0.09,0.0,0.0,0,0,0
E18987001296,18987,1296.0,unknown,0.09,0.0,0.0,0,0,0
E18987001299,18987,1299.0,unknown,0.09,0.0,0.0,0,0,0
E18987001304,18987,1304.0,unknown,0.09,0.0,0.0,0,0,0
E18987001317,18987,1317.0,unknown,0.09,0.0,0.0,0,0,0
E18987001339,18987,1339.0,unknown,0.09,0.0,0.0,0,0,0
E18987001345,18987,1345.0,unknown,0.09,0.0,0.0,0,0,0
E18987001363,18987,1363.0,unknown,0.09,0.0,0.0,0,0,0
E18987001436,18987,1436.0,unknown,0.09,0.0,0.0,0,0,0
E18987001438,18987,1438.0,unknown,0.09,0.0,0.0,0,0,0
E18987001453,18987,1453.0,unknown,0.09,0.0,0.0,0,0,0
E18987001463,18987,1463.0,unknown,0.09,0.0,0.0,0,0,0
E18987001470,18987,1470.0,unknown,0.09,0.0,0.0,0,0,0
E18987001491,18987,1491.0,unknown,0.09,0.0,0.0,0,0,0
E18987001506,18987,1506.0,unknown,0.09,0.0,0.0,0,0,0
E18987001511,18987,1511.0,unknown,0.09,0.0,0.0,0,0,0
E18987001525,18987,1525.0,unknown,0.09,0.0,0.0,0,0,0
E18987001548,18987,1548.0,unknown,0.09,0.0,0.0,0,0,0
E18987001566,18987,1566.0,unknown,0.09,0.0,0.0,0,0,0
E18987001582,18987,1582.0,unknown,0.09,0.0,0.0,0,0,0
E18987001591,18987,1591.0,unknown,0.09,0.0,0.0,0,0,0
E18987001599,18987,1599.0,unknown,0.09,0.0,0.0,0,0,0
E18987001644,18987,1644.0,unknown,0.09,0.0,0.0,0,0,0
E18987001652,18987,1652.0,unknown,0.09,0.0,0.0,0,0,0
E18987001658,18987,1658.0,unknown,0.09,0.0,0.0,0,0,0
E18987001668,18987,1668.0,unknown,0.09,0.0,0.0,0,0,0
E18987001711,18987,1711.0,unknown,0.09,0.0,0.0,0,0,0
E18987001717,18987,1717.0,unknown,0.09,0.0,0.0,0,0,0
E18987001731,18987,1731.0,unknown,0.09,0.0,0.0,0,0,0
E18987001737,18987,1737.0,unknown,0.09,0.0,0.0,0,0,0
E18987001746,18987,1746.0,unknown,0.09,0.0,0.0,0,0,0
E18987001748,18987,1748.0,unknown,0.09,0.0,0.0,0,0,0
E18987001768,18987,1768.0,unknown,0.09,0.0,0.0,0,0,0
E18987001787,18987,1787.0,unknown,0.09,0.0,0.0,0,0,0
E18987001820,18987,1820.0,unknown,0.09,0.0,0.0,0,0,0
E18987001829,18987,1829.0,unknown,0.09,0.0,0.0,0,0,0
